,id,question,A,B,C,D,answer,explanation,option_type,source,level
886,1475,在人际吸引的影响因素中，可视为相似性的特殊形式的是（　　）。,熟悉,互补,邻近,竞争,B,当双方在某些方面看起来互补时，彼此的喜欢也会增加。互补可视为相似性的特殊形式。,单选,2008.11,3
680,1091,MMPI是（　　）。,智力量表,投射量表,适应量表,自陈量表,D,明尼苏达多相人格测验（MMPI）问世于1943年，由明尼苏达大学教授哈特卫和麦金利合作编制而成。该测验的问世是自陈法人格测验发展史上的一个重要里程碑，对人格测验的研究进程产生了巨大影响。,单选,2010.11,3
1472,2473,"“希望自己有丰厚的收入、有一个稳定的工作”，这属于（　　）。
 ",生理需要	 ,安全需要	 ,尊重需要	 ,爱的需要,B,安全的需要指人对安全、秩序、稳定以及免除恐惧和焦虑的需要。它表现为人都希望自己有丰厚的收入，有一个稳定的工作，希望生活在安全、有秩序、可以预测和熟悉的环境中，喜欢做自己熟悉的工作等。这种需要得不到满足，人就会感到威胁和恐惧。,单选,2014.11,2
1837,3074,"在计算标准分数的公式Z=（X—X）/SD中，SD为（　　）。
 ",样本标准差	 ,原始分数	 ,样本平均数	 ,标准分数,A,在计算标准分数的公式中，x为任一原始分数，x为样本平均数，SD为样本标准差，z分数可以用来表示某一分数与平均数之差是标准差的几倍。,单选,2013.5,2
549,867,16PF的题目形式是（　　）。,是非式	 ,折中是非式	 ,选择式	 ,文字等级式,B,16PF的每一测题有三个可供选择的答案（A、B、C），答卷纸上相应地附有三个方格，请被试者将所选择的答案以“×”为符号，填到相应的方格内。如果选择A，就在第一个方格内划“×”；选择B，就在第二个方格内划“×”；选择C，就在第三个方格内划“×”。,单选,2014.5,3
872,1423,若人格类型为中间型，则EPQ各量表T分的范围是（　　）。,5.45～17.5,17.5～30.1,30.1～43.3,43.3～56.7,D,根据标准差的面积分布，规定EPQ各量表的T分在43.3～56.7分之间为中间型，各量表的T分在38.5～43.3分或56.7～61.5分之间为倾向型，而T分在38.5分以下或61.5分以上为典型型。,单选,2008.5,3
262,411,中国修订的韦氏成人智力量表包括的分测验是（　　）。,10个	 ,11个	 ,12个	 ,13个,B,WAIS—RC量表包括11个分测验，其中言语测验包括6部分：词汇、数字广度、相似性、算术、领悟、知识；操作测验包括5部分：数字符号、拼图、图片排列、积木、填图。,单选,2013.11,3
643,1054,模仿的意义不包括（　　）。,具有适应作用,是学习的基础,影响他人的方式,会促进群体形成,C,模仿是在没有外在压力的条件下，个体受他人的影响仿照他人，使自己与他人相同或相似的现象。模仿的意义主要体现在:①模仿是学习的基础；②适应作用；③促进群体形成。,单选,2010.11,3
533,851,在进行摄入性会谈的过程中，控制会谈和转换话题的技巧不包括（　　）。,中断	 ,引导	 ,解释	 ,释义,C,控制会谈和转换话题的技巧很多，而且可以随机应变。最常用的方法是“释义”，再一个方法就是中断，也可以使用情感的反射作用。当心理咨询师有经验而且足够机敏时，他们最常用的方法是引导，即由目前的话题引向另一话题。引导不是直接建议转换话题，而是由原来的话题引申出新话题。,单选,2014.5,3
813,1318,在合理情绪疗法的修通阶段最常用的方法是（　　）。,行为技术,合理情绪想象技术,家庭作业,与不合理信念辩论,D,与不合理信念辩论、合理情绪想象技术、家庭作业均是合理情绪疗法在修通阶段所采用的技术，其中以与不合理信念辩论最为常用。,单选,2009.11,3
1225,2034,"常模样本对于所测群体应当具有较好的（　　）。
 ",跨时空性	 ,同一性	 ,非限制性	 ,代表性,D,构成常模团体的条件：①群体的构成必须明确界定；②常模团体必须是所测群体的代表性样本；③样本的大小要适当；④标准化样组是一定时空的产物。对测验编制者而言，常模的选择主要是基于对测验将要施测的总体的认识，常模团体必须能够代表该总体。,单选,2014.5,2
903,1492,对于人格障碍者，心理咨询的效果是（　　）。,良好的,极差的,有限的,未知的,C,心理咨询对于人格障碍及心理疾病边缘状态者的作用是很有限的。,单选,2008.11,3
964,1584,神经症性问题的最主要的鉴别点是出现（　　）。,变形的心理冲突	 ,认知障碍	 ,常性的心理冲突	 ,情绪障碍,A,弄清楚心理冲突的性质是鉴别神经症的关键。心理冲突有常形和变形之分。①常形的特点：它与现实处境直接相联，涉及大家公认的重要生活事件；它有明显的道德性质。②变形的特点：它与现实处境没有什么关系，或者它涉及的是生活中的小事，一般人认为不值得为它操心；不具有道德色彩。,单选,2013.5,3
1483,2484,"最容易发生从众的情况是（　　）。
 ",个体自我评价高	 ,群体凝聚力较低	 ,所处情境很明确	 ,个体依赖性较高,D,个体的自我评价越高，从众行为越少。群体凝聚力越大，对个体的吸引力越强，个体越容易产生从众行为。如果情境很明确，判断事物的客观标准很清晰，从众行为就会减少。个体依赖性较高的，容易从众。,单选,2014.11,2
1902,3186,"样本大小适当的关键是样本要有（　　）。
 ",可比性	 ,特殊性	 ,相关性	 ,代表性,D,样本具有代表性是样本大小适当的关键。从一个较小的、具有代表性的样本所获得的分数，通常比来自较大的、但定义模糊的团体的一组分数还要好。,单选,2013.11,2
401,646,对求助者影响力最明显的咨询技术是（　　）。,指导	 ,解释	 ,释义	 ,面质,A,指导技术指心理咨询师直接地指示求助者做某件事、说某句话或者以某种方式行动。指导技术是对求助者影响力最明显的一种咨询技术。,单选,2012.11,3
592,958,若用P代表项目难度，难度越低P值越（　　）。,大	 ,小	 ,低	 ,接近1,A,难度是指测验项目的难易程度。以通过率表示项目的难度时，通过人数越多，P值越大，其难度越小；通过人数越少，P值越小，难度越大，题目越难。,单选,2014.11,3
368,613,人们往往会倾向于把过去很久的事情解释为（　　）的原因。,图像	 ,行为主体	 ,背景	 ,刺激客体,C,时间因素影响归因:随着时间的推移，归因会越来越具有情境性。人们会把过去很久的事件解释为背景的原因，而不是行为主体和刺激客体的原因。,单选,2012.11,3
1085,1798,内心被揭露感属于（　　）。,知觉障碍	 ,感知综合障碍	 ,思维形式障碍	 ,思维内容障碍,D,内心被揭露感属于思维内容障碍。内心被揭露感又称被洞悉感，患者认为其内心的想法或者患者本人及其与家人之间的隐私，未经患者语言文字的表达，别人就知道了。很多患者不清楚别人是通过什么方式、方法了解到他内心想法的。多见于精神分裂症。,单选,2015.11,3
94,147,心理咨询师与求助者之间的人际距离应该是（　　）。,公众距离	 ,个人距离	 ,社交距离	 ,亲密距离,C,心理咨询师与求助者会谈，保持正常的社交距离，保持正常的咨询位置，按我们的民族习俗，会谈时不可直视对方眼睛，可扫视对方眼神或表情。,单选,2012.5,3
507,825,一般情况下，去个性化和个体侵犯性之间的关系是（　　）。,正相关	 ,负相关	 ,零相关	 ,无相关,A,侵犯行为与去个性化有密切的联系。在去个性化状态下，人群不分青红皂白地攻击目标，并且攻击的强度远超寻常而不能停止。球迷闹事，一些“暴民”的打砸抢行为，都是非常典型的由于去个性化而引起侵犯的例子。心理学家认为，去个性化状态使人最大限度地降低了自我观察和自我评价的意识，降低了对社会评价的关注，通常的内疚、差愧、恐惧和承诺等行为控制力量也都被削弱，从而使人表现出通常社会不允许的行为，使人的侵犯行为增加。,单选,2014.5,3
1002,1670,一般来说，最能吸引人的人格品质是（　　）。,热情	 ,真诚	 ,善良	 ,智慧,B,人格品质是影响喜欢的最稳定因素之一，也是个体吸引力最重要的来源之一，在人际吸引中排在最前面。受喜爱程度最高的六个人格品质是:真诚、诚实、理解、忠诚、真实、可信。,单选,2011.5,3
919,1531,实施职业化管理靠的是（　　）。,制度	 ,直觉	 ,灵活应变	 ,领导示范,A,职业化管理是一种建立在职业道德和职业精神基础上的法治，依靠职业道德、制度和标准，而不是直觉和灵活应变。,单选,2013.5,3
513,831,病理性错觉的症状违背了（　　）。,主、客观世界统一性原则	 ,心理活动的内在协调性原则	 ,人格的相对稳定性原则	 ,社会适应标准,A,郭念峰提出了作为确定心理正常与异常依据的三条原则：主、客观世界统一性原则；心理活动的内在协调性原则；人格的相对稳定性原则。如果一个人说他看到或听到了什么，而客观世界中，当时并不存在引起他这种知觉的刺激物，那么，我们必须肯定，这个人的精神活动不正常了，他产生了幻觉。,单选,2014.5,3
1994,3326,"求助者中心疗法认为心理失调产生的原因是（　　）。
 ",出现错误的认知	 ,心理需要得不到满足	 ,自我概念与经验之间的不协调	 ,与环境不相适应,C,自我概念是求助者中心疗法理论了解心理失调的关键。自我概念与经验之间的不协调是心理失调产生的原因。人本主义疗法认为产生心理失调的原因是自我概念与经验之间的不协调。,单选,2015.5,2
487,797,关于企业规章制度，理解正确的是（　　）。,规章制度虽然能够使员工步调一致，但同时抑制了人们的创造性	 ,规章制度是企业管理水平低的表现，好的企业不用规章制度便能够管理有序	 ,在规章制度面前，没有特例或不受规章制度约束的人	 ,由于从业人员没有制定规章制度的权利，遵守与不遵守规章可视情况而定,C,职业纪律至关重要。制定和执行纪律是树立企业形象的现实需要。职业纪律折射着员工的劳动态度和敬业精神。需要牢记，任何职业组织都不允许规章制度成为“花瓶”摆设，也不能容忍职业纪律成为“乒乓球”，任由人们拍来打去。任何公司都会以有效的手段保证其制度、纪律得以贯彻落实，企业一旦发现有人违规犯戒，就会给予惩处，绝不姑息迁就。,单选,2014.5,3
1236,2045,"“扭曲的体像”是（　　）患者的表现。
 ",抑郁神经症	 ,神经性贪食	 ,神经性厌食	 ,疑病神经症,C,进食障碍包括神经性厌食、神经性贪食及神经性呕吐。其中，患神经性厌食的患者本身强烈地恐惧体重的增加或肥胖，常常伴随着对自身身材与体重的看待方式扭曲。,单选,2014.5,2
1298,2155,"弗洛伊德理论的“发展观点”是其（　　）的延伸。
 ",分区观点	 ,动力学观点	 ,结构观点	 ,适应观点,B,弗洛伊德理论的发展观点是动力学观点的延伸。弗洛伊德认为，“本我”中的“无意识”冲动和性欲，在个体发展的不同阶段，总要通过身体的不同部位或区域得到满足并获取快感。而在不同部位获取快感的过程，就构成了人格发展的不同阶段。他把性心理的个体发展分为口欲期、肛欲期、生殖器期、潜伏期、生殖期几个阶段。,单选,2015.11,2
1456,2409,"韦氏儿童智力测验（WISC－CR）结果为轻度智力缺陷的IQ范围是（　　）。
 ",70～69	 ,50～69	 ,35～49	 ,20～34,B,韦氏儿童智力测验将智力缺陷的等级分为：轻度、中度、重度和极重度。其中轻度智力缺陷的IQ范围是50～69。,单选,2016.5,2
883,1472,一般来说，最能准确反映人的内心状况的身体语言形式是（　　）。,目光,面部表情,姿势,空间距离,A,情绪变化的外部表现模式叫表情，包括面部表情、身段表情和言语表情。面部表情指面部肌肉活动的模式，它能比较精细地表现出人的不同的情绪和情感，是鉴别人的情绪和情感的主要标志。,单选,2008.11,3
1802,3031,"根据“中国商业企业诚信公约”，下列说法中，正确的是（　　）。
 ",限制消费者的合法权益，必须按照适度、公示和听证原则进行	 ,促销活动中的降价让利行为属于公司内部管理范畴，可完全自主进行	 ,建立健全商品进货检查验证制度，抵制假冒伪劣商品进入流通领域	 ,严格履行“三包”规定，对售出商品实行商品质量倒推负责制,C,“诚信公约”的内容主要有：第二条，严格执行国家有关相关法律法规，不以任何方式排除或者限制消费者合法权益；第三条，杜绝促销活动中的价格欺诈和虚假宣传广告，保证各类商品服务信息的真实性，不误导欺骗消费者，确保公平交易；第八条，严格履行“三包”规定售后义务，对售出商品实行商品质量先行负责制，对消费者的各项服务负责。,单选,2013.5,2
1741,2933,"反映视觉适应现象的是（　　）。
 ",夜色中蓝色物质要比黄色物体看起来更亮一些	 ,不管是白天还是夜晚，煤球看起来都是黑的	 ,灯管灭了后，眼前还有它的形象	 ,消防队员值夜班时佩戴红色眼镜在室内灯光下活动,D,在外界刺激持续作用下，感受性发生变化的现象叫感觉适应。我们从明亮的地方走进黑暗的地方，眼睛需要经过一会，才会看清暗处的东西，这一过程是视网膜的敏感度逐渐增高的适应过程，称为暗适应。红色眼镜防止视紫红质分解，可以保护暗适应。,单选,2012.11,2
1622,2719,"在科尔伯格的道德发展理论中，服从和惩罚的道德定向阶段的儿童，其个体特征是（　　）。
 ",对成人或规则采取服从的态度，以免受到惩罚	 ,认为每个人都有自己的意图和需要	 ,认识到必须尊重个人的看法和想法	 ,强调对法律和权威的服从,A,惩罚和服从取向，以服从权威和避免受惩罚作为判断行为好坏的标准，不理解道德标准，不理解道德两难故事中主人公的两种价值观冲突。,单选,2011.5,2
280,477,青春期的思维发展水平处于（　　）。,感知运算阶段	 ,前运算阶段	 ,具体运算阶段	 ,形式运算阶段,D,青春期的思维发展处于形式运算阶段，主要特点如下：①思维形式摆脱思维内容；②进行假设-演绎推理，即首先提出假设，提出各种可能性，然后进行演绎，寻求可能性中的现实性，寻找正确答案。,单选,2016.11,3
1798,3027,"从职业活动内在的道德准则看，与“勤勉”内涵符合的是（　　）。
 ",自我勤奋，拒绝加班	 ,努力工作，免于处罚	 ,鞠躬尽瘁，死而后已	 ,舍我其谁，当仁不让,C,勤勉指从业者在规定的时间范围内集中精力认真完成职责。“鞠躬尽瘁，死而后已”是认真谨慎的办事，为事业贡献自己的力量，一直到死为止，与勤勉的内涵相符；D项指遇到应该做的事就积极主动去做、不推让，与题干意思不符。,单选,2013.5,2
1178,1939,正确咨询态度的主要因素是（　　）。,咨询特质	 ,职业理念	 ,咨询经验	 ,积极关注,B,咨询态度不是单纯的工具或手段，而是咨询师职业理念和人性的表达。因此，正确的咨询态度是建立良好咨询关系的重要基础，否则，再好的咨询方法和技巧都会失去意义。,单选,2011.11,3
1631,2728,"考察求助者的社会功能，这是评估心理健康状态的（　　）。
 ",功能标准	 ,操作标准	 ,体验标准	 ,发展标准,B,操作标准指通过观察、实验和测验等方法考察心理活动的过程和效应，其核心是效率，主要包括个人心理活动的效率和个人的社会效率或社会功能。,单选,2011.5,2
206,347,职业道德在协调职工与企业上司之间的关系时，要求员工（　　）。,在对上司的指令不甚明了时，不要接受分配的任务	 ,对上司安排的任务，即使无法完成，也不得提出异议	 ,对上司的错误指责，要敢于当面指出来	 ,对上司的隐私，不要当众议论，也不要背地贬低上司,D,员工要尊重上司的隐私，对上司有意见，应寻找恰当的时间向上司当面陈词，不在背后贬低、中伤、诽谤，议论上司，更不当面指责上司，当对上司的指令不甚明了时，能干的工作要认真完成，不能干的工作要如实上报不能误时误事。,单选,2013.11,3
701,1160,4月以后的婴儿对熟悉的人比对不熟悉的人有更多的微笑，这属于（　　）。,条件反射性的微笑	 ,无选择的社会性微笑	 ,自发性的微笑	 ,有选择的社会性微笑,D,婴儿的微笑是一种从生物学意义向社会意义转化的发展过程，可分为如下三个阶段：①自发性微笑阶段，生来就有，是生理反射性微笑；②无选择的社会性微笑阶段，能够区分人和其他非社会性刺激，但是对人的社会性微笑是不加区分的；③有选择的社会性微笑阶段，能够区分熟悉人和陌生人的声音和面孔，开始对不同的人具有不同的微笑反应，对熟悉者报以更多的微笑。,单选,2015.5,3
982,1602,关于SAS的计分方法，下列表述错误的是（　　）。,各项目按频度分为4级评分	 ,各项目得分相加得到总粗分	 ,各项目均采用正向计分法	 ,标准分划界值为50分,C,SAS有两种计分方法，若为反向评分题则评为4、3、2、1分，正向评分题，一次评为粗分1、2、3、4分； 20个项目得分相加得到总粗分，乘以1.25取整（不是四舍五入）得到标准分。标准分划界值是50分，其中50～59分为轻度焦虑，60～69分为中度焦虑，70分以上为重度焦虑。,单选,2013.5,3
814,1319,在施测中国比内测验时，主测者与受测者的位置关系应是（　　）。,并排坐,呈90度角,面对面,呈120度角,C,在施测中国比内测验时，主测者与受测者面对面而坐。主测者可将指导书立在面前，以免受测者窥视主测者的记录，思想受到扰乱。,单选,2009.11,3
1362,2267,"使用BPRS量表，两次评定的时间间隔应为（　　）。
 ",一周以内	 ,1～2周	 ,2～6周	 ,6～8周,C,使用BPRS量表，两次评定的时间间隔应为2～6周。,单选,2011.11,2
1141,1902,大多数典型行为测验是不受时间限制的，例如在（　　）中，受测者的反应速度就不很重要。,智力测验	 ,速度测验	 ,人格测验	 ,难度测验,C,时限是测验标准化的一项内容。大多数典型行为测验是不受时间限制的，例如人格测验中被试者的反应速度就不很重要。但在最高作为测验中，速度是需要考虑的重要因素之一。,单选,2011.11,3
1435,2388,"儿童心理障碍多以（　　）为主要形式。
 ",情绪障碍	 ,行为障碍	 ,思维障碍	 ,意志障碍,B,儿童心理障碍的内容与形式并不十分复杂，但由于儿童不能像成人那样通过丰富的语言来宣泄内心的压抑，所以心理障碍更多以行为障碍为主，如多动、缄默、攻击或退缩等行为。该时期出现的心理问题多与家庭教养方式、父母关系状态有关。,单选,2016.5,2
1835,3072,"如测验的效度是0.80，则该测验能够正确解释的效标的方差占总方差的比例是（　　）。
 ",80％	 ,46％	 ,20％	 ,64％,D,效度系数的意义以决定性系数表示。决定性系数是效度系数的平方，表示正确预测测验或解释效标的方差占总方差的比例。如测验的效度是0.80，决定性系数是0.64，则测验分数正确预测效标的比例是64％，其余36％则无法做出正确的预测。,单选,2013.5,2
1731,2915,"下列说法中，构成我国社会主义核心价值体系的是（　　）。
 ",中国特色社会主义共同理想	 ,实事求是的思想路线	 ,人本、法治、科学、和谐	 ,民主集中制,A,马克思主义指导思想，中国特色社会主义共同理想、以爱国主义为核心的民族精神和以改革创新为核心的时代精神，社会主义荣辱观，构成社会主义核心价值体系的基本内容。,单选,2012.11,2
564,930,与他人建立情感联系，隶属于某一群体并在群体中享有地位的需要是（　　）。,生理和安全需要	 ,他尊和自尊需要	 ,爱和归属的需要	 ,自我实现的需要,C,爱和归属的需要是指个体需要依附于某个群体来获得情感归属，例如组织、团体、种族、国家等。爱的需要包括两个方面，即爱他人和被他人爱，包括人际交往、友谊、互助等。社交的需要表明个体渴望亲密的感情关系、不甘被孤立或疏远。,单选,2014.11,3
171,272,班杜拉的社会学习理论是（　　）的代表性理论。,新行为主义,认知心理学,发生认识论,精神分析论,A,社会学习理论是对传统的行为主义的继承和发展。社会学习理论坚持行为主义的客观化立场，认为心理学研究的最终目的仍然在于说明、预测和控制行为，但同时，这一理论也超越了传统行为主义的局限性:它突破了传统行为主义的研究领域，探索认知和思维等心理活动在行为调节中的作用；强调行为与认知结合；突出主体的积极性与主动性，强调主体的自我调节作用。成为新行为主义的代表性理论。,单选,2010.5,3
1978,3310,"当求助者发生意外时，心理咨询师采用会谈法予以帮助，这是（　　）。
 ",诊断性会谈	 ,摄入性会谈	 ,危机性会谈	 ,治疗性会谈,C,A项，诊断性会谈是指聚焦症状，了解病史、持续时间、严重程度等以便准确界定来访者的问题或困难所在。B项，摄入性会谈是指通过会谈了解求助者的客观背景资料，了解健康状况、工作状况和家庭状况，等等；通过会谈了解求助者当前的感受、状态、咨询动机和期望等。C项，危机性会谈是指当求助者或求助者亲属发生意外时，如遭到强奸、想自杀、突然的精神创伤，医生和心理咨询师用会谈法给以帮助。D项，治疗性会谈是指针对心理问题和行为问题所进行的会谈，这类会谈往往是心理治疗的一种它除了要注意会谈法的原则，还要遵循心理治疗的法则。,单选,2015.5,2
